Gene_Name_HPA,image
L3MBTL2,B2AI_2_Paclitaxel_B1_R2_z02_
L3MBTL2,B2AI_2_Paclitaxel_B1_R3_z02_
L3MBTL2,B2AI_2_Paclitaxel_B1_R5_z02_
L3MBTL2,B2AI_2_Paclitaxel_B1_R6_z02_
L3MBTL2,B2AI_2_Paclitaxel_B1_R7_z02_
L3MBTL2,B2AI_2_Paclitaxel_B1_R8_z02_
G6PD,B2AI_5_Paclitaxel_B1_R11_z02_
G6PD,B2AI_5_Paclitaxel_B1_R12_z02_
G6PD,B2AI_5_Paclitaxel_B1_R18_z01_
G6PD,B2AI_5_Paclitaxel_B1_R2_z01_
G6PD,B2AI_5_Paclitaxel_B1_R3_z00_
G6PD,B2AI_5_Paclitaxel_B1_R4_z01_
G6PD,B2AI_5_Paclitaxel_B1_R5_z01_
G6PD,B2AI_5_Paclitaxel_B1_R6_z01_
G6PD,B2AI_5_Paclitaxel_B1_R7_z01_
G6PD,B2AI_5_Paclitaxel_B1_R8_z00_
PLS3_LCP1_PLS1,B2AI_3_Paclitaxel_D1_R1_z00_
PLS3_LCP1_PLS1,B2AI_3_Paclitaxel_D1_R11_z00_
PLS3_LCP1_PLS1,B2AI_3_Paclitaxel_D1_R12_z00_
PLS3_LCP1_PLS1,B2AI_3_Paclitaxel_D1_R13_z00_
PLS3_LCP1_PLS1,B2AI_3_Paclitaxel_D1_R2_z00_
PLS3_LCP1_PLS1,B2AI_3_Paclitaxel_D1_R3_z01_
PLS3_LCP1_PLS1,B2AI_3_Paclitaxel_D1_R4_z02_
PLS3_LCP1_PLS1,B2AI_3_Paclitaxel_D1_R5_z01_
PLS3_LCP1_PLS1,B2AI_3_Paclitaxel_D1_R6_z01_
PLS3_LCP1_PLS1,B2AI_3_Paclitaxel_D1_R7_z01_
PLS3_LCP1_PLS1,B2AI_3_Paclitaxel_D1_R8_z01_
DKC1,B2AI_2_Paclitaxel_C1_R1_z02_
DKC1,B2AI_2_Paclitaxel_C1_R13_z00_
DKC1,B2AI_2_Paclitaxel_C1_R14_z00_
DKC1,B2AI_2_Paclitaxel_C1_R15_z00_
DKC1,B2AI_2_Paclitaxel_C1_R2_z02_
DKC1,B2AI_2_Paclitaxel_C1_R3_z02_
DKC1,B2AI_2_Paclitaxel_C1_R4_z02_
DKC1,B2AI_2_Paclitaxel_C1_R5_z02_
DKC1,B2AI_2_Paclitaxel_C1_R6_z01_
DKC1,B2AI_2_Paclitaxel_C1_R7_z00_
DKC1,B2AI_2_Paclitaxel_C1_R8_z02_
PHF6,B2AI_1_Paclitaxel_B2_R2_z01_
PHF6,B2AI_1_Paclitaxel_B2_R3_z01_
PHF6,B2AI_1_Paclitaxel_B2_R4_z01_
PHF6,B2AI_1_Paclitaxel_B2_R5_z01_
PHF6,B2AI_1_Paclitaxel_B2_R6_z01_
PHF6,B2AI_1_Paclitaxel_B2_R7_z02_
PHF6,B2AI_1_Paclitaxel_B2_R8_z01_
TAF1,B2AI_1_Paclitaxel_G10_R1_z01_
TAF1,B2AI_1_Paclitaxel_G10_R2_z01_
TAF1,B2AI_1_Paclitaxel_G10_R3_z01_
TAF1,B2AI_1_Paclitaxel_G10_R4_z01_
TAF1,B2AI_1_Paclitaxel_G10_R5_z01_
TAF1,B2AI_1_Paclitaxel_G10_R6_z01_
TAF1,B2AI_1_Paclitaxel_G10_R7_z02_
TAF1,B2AI_1_Paclitaxel_G10_R8_z02_
LGALS1,B2AI_3_Paclitaxel_E1_R1_z01_
LGALS1,B2AI_3_Paclitaxel_E1_R11_z00_
LGALS1,B2AI_3_Paclitaxel_E1_R12_z00_
LGALS1,B2AI_3_Paclitaxel_E1_R13_z01_
LGALS1,B2AI_3_Paclitaxel_E1_R3_z01_
LGALS1,B2AI_3_Paclitaxel_E1_R4_z01_
LGALS1,B2AI_3_Paclitaxel_E1_R5_z02_
LGALS1,B2AI_3_Paclitaxel_E1_R6_z01_
LGALS1,B2AI_3_Paclitaxel_E1_R7_z00_
LGALS1,B2AI_3_Paclitaxel_E1_R8_z00_
SOD1,B2AI_5_Paclitaxel_C1_R11_z01_
SOD1,B2AI_5_Paclitaxel_C1_R13_z01_
SOD1,B2AI_5_Paclitaxel_C1_R15_z01_
SOD1,B2AI_5_Paclitaxel_C1_R2_z01_
SOD1,B2AI_5_Paclitaxel_C1_R4_z01_
SOD1,B2AI_5_Paclitaxel_C1_R5_z01_
SOD1,B2AI_5_Paclitaxel_C1_R7_z01_
FADD,B2AI_3_Paclitaxel_F1_R1_z01_
FADD,B2AI_3_Paclitaxel_F1_R12_z01_
FADD,B2AI_3_Paclitaxel_F1_R13_z00_
FADD,B2AI_3_Paclitaxel_F1_R4_z01_
FADD,B2AI_3_Paclitaxel_F1_R5_z02_
FADD,B2AI_3_Paclitaxel_F1_R6_z00_
FADD,B2AI_3_Paclitaxel_F1_R7_z01_
FADD,B2AI_3_Paclitaxel_F1_R8_z01_
ATF3,B2AI_4_Paclitaxel_B1_R1_z01_
ATF3,B2AI_4_Paclitaxel_B1_R11_z01_
ATF3,B2AI_4_Paclitaxel_B1_R13_z01_
ATF3,B2AI_4_Paclitaxel_B1_R14_z01_
ATF3,B2AI_4_Paclitaxel_B1_R2_z01_
ATF3,B2AI_4_Paclitaxel_B1_R4_z01_
ATF3,B2AI_4_Paclitaxel_B1_R5_z01_
ATF3,B2AI_4_Paclitaxel_B1_R6_z01_
ATF3,B2AI_4_Paclitaxel_B1_R7_z01_
ATF3,B2AI_4_Paclitaxel_B1_R8_z00_
TOM1,B2AI_4_Paclitaxel_C1_R11_z01_
TOM1,B2AI_4_Paclitaxel_C1_R12_z01_
TOM1,B2AI_4_Paclitaxel_C1_R14_z00_
TOM1,B2AI_4_Paclitaxel_C1_R15_z01_
TOM1,B2AI_4_Paclitaxel_C1_R2_z01_
TOM1,B2AI_4_Paclitaxel_C1_R4_z01_
TOM1,B2AI_4_Paclitaxel_C1_R5_z01_
TOM1,B2AI_4_Paclitaxel_C1_R6_z01_
TOM1,B2AI_4_Paclitaxel_C1_R7_z01_
TOM1,B2AI_4_Paclitaxel_C1_R8_z01_
VIM,B2AI_3_Paclitaxel_G1_R1_z01_
VIM,B2AI_3_Paclitaxel_G1_R11_z00_
VIM,B2AI_3_Paclitaxel_G1_R12_z00_
VIM,B2AI_3_Paclitaxel_G1_R13_z00_
VIM,B2AI_3_Paclitaxel_G1_R14_z00_
VIM,B2AI_3_Paclitaxel_G1_R15_z00_
VIM,B2AI_3_Paclitaxel_G1_R16_z00_
VIM,B2AI_3_Paclitaxel_G1_R2_z01_
VIM,B2AI_3_Paclitaxel_G1_R5_z02_
VIM,B2AI_3_Paclitaxel_G1_R6_z01_
VIM,B2AI_3_Paclitaxel_G1_R7_z02_
MYO1C,B2AI_2_Paclitaxel_D1_R1_z02_
MYO1C,B2AI_2_Paclitaxel_D1_R11_z01_
MYO1C,B2AI_2_Paclitaxel_D1_R12_z01_
MYO1C,B2AI_2_Paclitaxel_D1_R13_z01_
MYO1C,B2AI_2_Paclitaxel_D1_R14_z01_
MYO1C,B2AI_2_Paclitaxel_D1_R15_z02_
MYO1C,B2AI_2_Paclitaxel_D1_R2_z02_
MYO1C,B2AI_2_Paclitaxel_D1_R3_z02_
MYO1C,B2AI_2_Paclitaxel_D1_R4_z01_
MYO1C,B2AI_2_Paclitaxel_D1_R5_z02_
MYO1C,B2AI_2_Paclitaxel_D1_R6_z02_
MYO1C,B2AI_2_Paclitaxel_D1_R8_z02_
RPS6KA5,B2AI_1_Paclitaxel_D6_R1_z01_
RPS6KA5,B2AI_1_Paclitaxel_D6_R2_z01_
RPS6KA5,B2AI_1_Paclitaxel_D6_R3_z01_
RPS6KA5,B2AI_1_Paclitaxel_D6_R5_z01_
RPS6KA5,B2AI_1_Paclitaxel_D6_R6_z01_
RPS6KA5,B2AI_1_Paclitaxel_D6_R8_z01_
DNMT3B,B2AI_1_Paclitaxel_C8_R1_z01_
DNMT3B,B2AI_1_Paclitaxel_C8_R2_z01_
DNMT3B,B2AI_1_Paclitaxel_C8_R3_z01_
DNMT3B,B2AI_1_Paclitaxel_C8_R4_z01_
DNMT3B,B2AI_1_Paclitaxel_C8_R5_z01_
DNMT3B,B2AI_1_Paclitaxel_C8_R6_z01_
DNMT3B,B2AI_1_Paclitaxel_C8_R8_z01_
PRKCD,B2AI_1_Paclitaxel_H6_R1_z01_
PRKCD,B2AI_1_Paclitaxel_H6_R2_z01_
PRKCD,B2AI_1_Paclitaxel_H6_R4_z01_
PRKCD,B2AI_1_Paclitaxel_H6_R5_z01_
PRKCD,B2AI_1_Paclitaxel_H6_R6_z01_
PRKCD,B2AI_1_Paclitaxel_H6_R7_z02_
PRKCD,B2AI_1_Paclitaxel_H6_R8_z01_
TFAP4,B2AI_3_Paclitaxel_H1_R1_z01_
TFAP4,B2AI_3_Paclitaxel_H1_R11_z01_
TFAP4,B2AI_3_Paclitaxel_H1_R13_z01_
TFAP4,B2AI_3_Paclitaxel_H1_R17_z01_
TFAP4,B2AI_3_Paclitaxel_H1_R2_z01_
TFAP4,B2AI_3_Paclitaxel_H1_R22_z00_
TFAP4,B2AI_3_Paclitaxel_H1_R24_z01_
TFAP4,B2AI_3_Paclitaxel_H1_R3_z01_
TFAP4,B2AI_3_Paclitaxel_H1_R4_z01_
TFAP4,B2AI_3_Paclitaxel_H1_R5_z00_
TFAP4,B2AI_3_Paclitaxel_H1_R6_z00_
TFAP4,B2AI_3_Paclitaxel_H1_R7_z01_
TFAP4,B2AI_3_Paclitaxel_H1_R8_z00_
TAGLN2,B2AI_4_Paclitaxel_D1_R11_z00_
TAGLN2,B2AI_4_Paclitaxel_D1_R12_z01_
TAGLN2,B2AI_4_Paclitaxel_D1_R13_z01_
TAGLN2,B2AI_4_Paclitaxel_D1_R14_z02_
TAGLN2,B2AI_4_Paclitaxel_D1_R15_z01_
TAGLN2,B2AI_4_Paclitaxel_D1_R3_z01_
TAGLN2,B2AI_4_Paclitaxel_D1_R4_z01_
TAGLN2,B2AI_4_Paclitaxel_D1_R5_z02_
TAGLN2,B2AI_4_Paclitaxel_D1_R7_z01_
TAGLN2,B2AI_4_Paclitaxel_D1_R8_z02_
ALDH1A1,B2AI_2_Paclitaxel_E1_R11_z02_
ALDH1A1,B2AI_2_Paclitaxel_E1_R12_z00_
ALDH1A1,B2AI_2_Paclitaxel_E1_R13_z02_
ALDH1A1,B2AI_2_Paclitaxel_E1_R14_z02_
ALDH1A1,B2AI_2_Paclitaxel_E1_R2_z02_
ALDH1A1,B2AI_2_Paclitaxel_E1_R3_z02_
ALDH1A1,B2AI_2_Paclitaxel_E1_R4_z02_
ALDH1A1,B2AI_2_Paclitaxel_E1_R6_z00_
ALDH1A1,B2AI_2_Paclitaxel_E1_R8_z02_
COX4I1,B2AI_5_Paclitaxel_D1_R15_z02_
COX4I1,B2AI_5_Paclitaxel_D1_R2_z01_
COX4I1,B2AI_5_Paclitaxel_D1_R3_z00_
COX4I1,B2AI_5_Paclitaxel_D1_R4_z00_
COX4I1,B2AI_5_Paclitaxel_D1_R5_z00_
COX4I1,B2AI_5_Paclitaxel_D1_R8_z01_
AURKA,B2AI_1_Paclitaxel_H5_R1_z01_
AURKA,B2AI_1_Paclitaxel_H5_R2_z01_
AURKA,B2AI_1_Paclitaxel_H5_R4_z01_
AURKA,B2AI_1_Paclitaxel_H5_R7_z01_
AURKA,B2AI_1_Paclitaxel_H5_R8_z01_
AKT1,B2AI_4_Paclitaxel_E1_R1_z01_
AKT1,B2AI_4_Paclitaxel_E1_R11_z01_
AKT1,B2AI_4_Paclitaxel_E1_R2_z01_
AKT1,B2AI_4_Paclitaxel_E1_R21_z02_
AKT1,B2AI_4_Paclitaxel_E1_R22_z01_
AKT1,B2AI_4_Paclitaxel_E1_R23_z02_
AKT1,B2AI_4_Paclitaxel_E1_R24_z00_
AKT1,B2AI_4_Paclitaxel_E1_R25_z01_
AKT1,B2AI_4_Paclitaxel_E1_R26_z00_
AKT1,B2AI_4_Paclitaxel_E1_R27_z02_
AKT1,B2AI_4_Paclitaxel_E1_R28_z02_
AKT1,B2AI_4_Paclitaxel_E1_R3_z01_
AKT1,B2AI_4_Paclitaxel_E1_R4_z00_
AKT1,B2AI_4_Paclitaxel_E1_R5_z02_
AKT1,B2AI_4_Paclitaxel_E1_R7_z00_
TTLL12,B2AI_4_Paclitaxel_F1_R1_z02_
TTLL12,B2AI_4_Paclitaxel_F1_R2_z01_
TTLL12,B2AI_4_Paclitaxel_F1_R3_z01_
TTLL12,B2AI_4_Paclitaxel_F1_R4_z02_
TTLL12,B2AI_4_Paclitaxel_F1_R5_z01_
TTLL12,B2AI_4_Paclitaxel_F1_R6_z01_
TTLL12,B2AI_4_Paclitaxel_F1_R7_z01_
TTLL12,B2AI_4_Paclitaxel_F1_R8_z01_
EP300,B2AI_1_Paclitaxel_G2_R3_z01_
EP300,B2AI_1_Paclitaxel_G2_R4_z00_
EP300,B2AI_1_Paclitaxel_G2_R5_z01_
EP300,B2AI_1_Paclitaxel_G2_R7_z01_
EP300,B2AI_1_Paclitaxel_G2_R8_z01_
SLC16A1,B2AI_2_Paclitaxel_F1_R1_z02_
SLC16A1,B2AI_2_Paclitaxel_F1_R11_z02_
SLC16A1,B2AI_2_Paclitaxel_F1_R12_z02_
SLC16A1,B2AI_2_Paclitaxel_F1_R13_z02_
SLC16A1,B2AI_2_Paclitaxel_F1_R14_z01_
SLC16A1,B2AI_2_Paclitaxel_F1_R2_z02_
SLC16A1,B2AI_2_Paclitaxel_F1_R3_z02_
SLC16A1,B2AI_2_Paclitaxel_F1_R4_z02_
SLC16A1,B2AI_2_Paclitaxel_F1_R5_z02_
SLC16A1,B2AI_2_Paclitaxel_F1_R6_z02_
SLC16A1,B2AI_2_Paclitaxel_F1_R7_z02_
SLC16A1,B2AI_2_Paclitaxel_F1_R8_z02_
RPL23,B2AI_2_Paclitaxel_G1_R1_z02_
RPL23,B2AI_2_Paclitaxel_G1_R11_z02_
RPL23,B2AI_2_Paclitaxel_G1_R12_z01_
RPL23,B2AI_2_Paclitaxel_G1_R13_z02_
RPL23,B2AI_2_Paclitaxel_G1_R2_z02_
RPL23,B2AI_2_Paclitaxel_G1_R3_z02_
RPL23,B2AI_2_Paclitaxel_G1_R4_z02_
RPL23,B2AI_2_Paclitaxel_G1_R5_z02_
RPL23,B2AI_2_Paclitaxel_G1_R6_z02_
RPL23,B2AI_2_Paclitaxel_G1_R8_z02_
SPTB,B2AI_4_Paclitaxel_G1_R1_z02_
SPTB,B2AI_4_Paclitaxel_G1_R2_z02_
SPTB,B2AI_4_Paclitaxel_G1_R3_z00_
SPTB,B2AI_4_Paclitaxel_G1_R4_z02_
SPTB,B2AI_4_Paclitaxel_G1_R5_z01_
SPTB,B2AI_4_Paclitaxel_G1_R7_z02_
SPTB,B2AI_4_Paclitaxel_G1_R8_z02_
MAX,B2AI_2_Paclitaxel_H1_R12_z02_
MAX,B2AI_2_Paclitaxel_H1_R13_z01_
MAX,B2AI_2_Paclitaxel_H1_R14_z01_
MAX,B2AI_2_Paclitaxel_H1_R24_z00_
MAX,B2AI_2_Paclitaxel_H1_R5_z01_
MAX,B2AI_2_Paclitaxel_H1_R6_z00_
MAX,B2AI_2_Paclitaxel_H1_R7_z00_
HDAC6,B2AI_1_Paclitaxel_G3_R1_z00_
HDAC6,B2AI_1_Paclitaxel_G3_R2_z02_
HDAC6,B2AI_1_Paclitaxel_G3_R3_z01_
HDAC6,B2AI_1_Paclitaxel_G3_R4_z01_
HDAC6,B2AI_1_Paclitaxel_G3_R5_z02_
HDAC6,B2AI_1_Paclitaxel_G3_R6_z02_
HDAC6,B2AI_1_Paclitaxel_G3_R7_z02_
HDAC6,B2AI_1_Paclitaxel_G3_R8_z01_
G3BP1,B2AI_3_Paclitaxel_A2_R1_z02_
G3BP1,B2AI_3_Paclitaxel_A2_R11_z01_
G3BP1,B2AI_3_Paclitaxel_A2_R12_z00_
G3BP1,B2AI_3_Paclitaxel_A2_R13_z00_
G3BP1,B2AI_3_Paclitaxel_A2_R14_z01_
G3BP1,B2AI_3_Paclitaxel_A2_R2_z02_
G3BP1,B2AI_3_Paclitaxel_A2_R3_z01_
G3BP1,B2AI_3_Paclitaxel_A2_R4_z01_
G3BP1,B2AI_3_Paclitaxel_A2_R5_z02_
G3BP1,B2AI_3_Paclitaxel_A2_R6_z01_
G3BP1,B2AI_3_Paclitaxel_A2_R7_z00_
G3BP1,B2AI_3_Paclitaxel_A2_R8_z02_
MARS1,B2AI_5_Paclitaxel_E1_R1_z00_
MARS1,B2AI_5_Paclitaxel_E1_R12_z01_
MARS1,B2AI_5_Paclitaxel_E1_R13_z01_
MARS1,B2AI_5_Paclitaxel_E1_R14_z01_
MARS1,B2AI_5_Paclitaxel_E1_R2_z00_
MARS1,B2AI_5_Paclitaxel_E1_R3_z01_
MARS1,B2AI_5_Paclitaxel_E1_R5_z00_
MARS1,B2AI_5_Paclitaxel_E1_R6_z00_
MARS1,B2AI_5_Paclitaxel_E1_R7_z00_
MARS1,B2AI_5_Paclitaxel_E1_R8_z01_
PRKAG2,B2AI_1_Paclitaxel_G7_R1_z01_
PRKAG2,B2AI_1_Paclitaxel_G7_R2_z01_
PRKAG2,B2AI_1_Paclitaxel_G7_R3_z01_
PRKAG2,B2AI_1_Paclitaxel_G7_R4_z01_
PRKAG2,B2AI_1_Paclitaxel_G7_R5_z01_
PRKAG2,B2AI_1_Paclitaxel_G7_R7_z01_
PRKAB1,B2AI_1_Paclitaxel_D7_R1_z01_
PRKAB1,B2AI_1_Paclitaxel_D7_R2_z01_
PRKAB1,B2AI_1_Paclitaxel_D7_R3_z01_
PRKAB1,B2AI_1_Paclitaxel_D7_R4_z01_
PRKAB1,B2AI_1_Paclitaxel_D7_R5_z01_
PRKAB1,B2AI_1_Paclitaxel_D7_R7_z01_
PRKAB1,B2AI_1_Paclitaxel_D7_R8_z01_
PSAP,B2AI_2_Paclitaxel_A2_R1_z01_
PSAP,B2AI_2_Paclitaxel_A2_R12_z00_
PSAP,B2AI_2_Paclitaxel_A2_R13_z00_
PSAP,B2AI_2_Paclitaxel_A2_R2_z00_
PSAP,B2AI_2_Paclitaxel_A2_R3_z01_
PSAP,B2AI_2_Paclitaxel_A2_R4_z01_
PSAP,B2AI_2_Paclitaxel_A2_R5_z01_
PSAP,B2AI_2_Paclitaxel_A2_R6_z02_
PSAP,B2AI_2_Paclitaxel_A2_R7_z02_
PSAP,B2AI_2_Paclitaxel_A2_R8_z02_
ACAT1,B2AI_4_Paclitaxel_H1_R1_z02_
ACAT1,B2AI_4_Paclitaxel_H1_R2_z01_
ACAT1,B2AI_4_Paclitaxel_H1_R3_z01_
ACAT1,B2AI_4_Paclitaxel_H1_R4_z00_
ACAT1,B2AI_4_Paclitaxel_H1_R5_z01_
ACAT1,B2AI_4_Paclitaxel_H1_R6_z02_
ACAT1,B2AI_4_Paclitaxel_H1_R7_z01_
ACAT1,B2AI_4_Paclitaxel_H1_R8_z02_
FLNB,B2AI_2_Paclitaxel_B2_R1_z01_
FLNB,B2AI_2_Paclitaxel_B2_R11_z00_
FLNB,B2AI_2_Paclitaxel_B2_R12_z00_
FLNB,B2AI_2_Paclitaxel_B2_R13_z00_
FLNB,B2AI_2_Paclitaxel_B2_R14_z00_
FLNB,B2AI_2_Paclitaxel_B2_R2_z02_
